CODIGO,NOME,TURNO
01GV,ADMINISTRAÇÃO,INTEGRAL
46A,ADMINISTRAÇÃO,NOTURNO
26A,ADMINISTRAÇÃO,INTEGRAL
54A,ADMINISTRAÇÃO - EAD - PILOTO JUIZ DE FORA,INTEGRAL
58A,ADMINISTRAÇÃO - EAD - POLO BICAS,INTEGRAL
58B,ADMINISTRAÇÃO - EAD - POLO BOA ESPERANÇA,INTEGRAL
58C,ADMINISTRAÇÃO - EAD - POLO ILICINEA,INTEGRAL
58D,ADMINISTRAÇÃO - EAD - POLO PESCADOR,INTEGRAL
58E,ADMINISTRAÇÃO - EAD - POLO SALINAS,INTEGRAL
79A,ADMINISTRAÇÃO PÚBLICA - UAB - PÓLO BEIRA - MOÇAMBIQUE,INTEGRAL
74A,ADMINISTRAÇÃO PÚBLICA - UAB - PÓLO DE BICAS,INTEGRAL
74B,ADMINISTRAÇÃO PÚBLICA - UAB - PÓLO DE JUIZ DE FORA,INTEGRAL
74C,ADMINISTRAÇÃO PÚBLICA - UAB - PÓLO DE UBÁ,INTEGRAL
79B,ADMINISTRAÇÃO PÚBLICA - UAB - PÓLO LICHINGA - MOÇAMBIQUE,INTEGRAL
79C,ADMINISTRAÇÃO PÚBLICA - UAB - PÓLO MAPUTO - MOÇAMBIQUE,INTEGRAL
33A,ARQUITETURA E URBANISMO,INTEGRAL
03L,ARTES,INTEGRAL
03A,ARTES,INTEGRAL
03B,ARTES,INTEGRAL
66C,BACHARELADO EM ARTES VISUAIS,NOTURNO
66B,BACHARELADO EM CINEMA E AUDIOVISUAL,INTEGRAL
66D,BACHARELADO EM DESIGN,INTEGRAL
66E,BACHARELADO EM MODA,INTEGRAL
66A,BACHARELADO INTERDISCIPLINAR EM ARTES E DESIGN,INTEGRAL
73A,BACHARELADO INTERDISCIPLINAR EM CIÊNCIAS HUMANAS,NOTURNO
72A,BACHARELADO INTERDISCIPLINAR EM CIÊNCIAS HUMANAS,DIURNO
65C,CIÊNCIA DA COMPUTAÇÃO,INTEGRAL
35A,CIÊNCIA DA COMPUTAÇÃO,NOTURNO
22A,CIÊNCIA DA COMPUTAÇÃO,INTEGRAL
72BL,CIÊNCIA DA RELIGIÃO,NOTURNO
73BL,CIÊNCIA DA RELIGIÃO,NOTURNO
73B,CIÊNCIA DA RELIGIÃO,NOTURNO
72B,CIÊNCIA DA RELIGIÃO,NOTURNO
01A,CIÊNCIAS BIOLÓGICAS,INTEGRAL
01L,CIÊNCIAS BIOLÓGICAS,INTEGRAL
01B,CIÊNCIAS BIOLÓGICAS,INTEGRAL
01ABI,CIÊNCIAS BIOLÓGICAS,INTEGRAL
02GV,CIÊNCIAS CONTÁBEIS,INTEGRAL
77A,CIÊNCIAS CONTÁBEIS,INTEGRAL
78A,CIÊNCIAS CONTÁBEIS,NOTURNO
51A,CIÊNCIAS ECONÔMICAS,NOTURNO
05A,CIÊNCIAS ECONÔMICAS,INTEGRAL
03GV,CIÊNCIAS ECONÔMICAS,INTEGRAL
65A,CIÊNCIAS EXATAS,INTEGRAL
72CL,CIÊNCIAS SOCIAIS,INTEGRAL
31B,CIÊNCIAS SOCIAIS,INTEGRAL
31L,CIÊNCIAS SOCIAIS,INTEGRAL
73CL,CIÊNCIAS SOCIAIS,NOTURNO
73CB,CIÊNCIAS SOCIAIS,NOTURNO
72CB,CIÊNCIAS SOCIAIS,INTEGRAL
31A,CIÊNCIAS SOCIAIS,NOTURNO
73C,CIÊNCIAS SOCIAIS - ABI,NOTURNO
72C,CIÊNCIAS SOCIAIS - ABI,NOTURNO
12A,COMUNICAÇÃO SOCIAL,INTEGRAL
47A,COMUNICAÇÃO SOCIAL,NOTURNO
80A,CONVENIOS EXTERIOR,DIURNO
90A,CONVÊNIOS OUTRAS IFES,DIURNO
04A,DIREITO,INTEGRAL
34A,DIREITO,NOTURNO
04GV,DIREITO,INTEGRAL
00A,DISCIPLINA ISOLADA,DIURNO
99A,DISCIPLINAS OPCIONAIS,DIURNO
10GV,EDUCAÇÃO FÍSICA,INTEGRAL
21B,EDUCAÇÃO FÍSICA,INTEGRAL
21ABI,EDUCAÇÃO FÍSICA,INTEGRAL
21L,EDUCAÇÃO FÍSICA,INTEGRAL
21A,EDUCAÇÃO FÍSICA,INTEGRAL
86I,EDUCAÇÃO FÍSICA - EAD - PÓLO DE BOA ESPERANÇA,INTEGRAL
86J,EDUCAÇÃO FÍSICA - EAD - PÓLO DE CATAGUASES,INTEGRAL
86K,EDUCAÇÃO FÍSICA - EAD - PÓLO DE GOVERNADOR VALADARES,INTEGRAL
86A,EDUCAÇÃO FÍSICA - EAD - PÓLO DE ILICÍNEA,INTEGRAL
86B,EDUCAÇÃO FÍSICA - EAD - PÓLO DE IPANEMA,INTEGRAL
86E,EDUCAÇÃO FÍSICA - EAD - PÓLO DE LAGOA SANTA,INTEGRAL
86C,EDUCAÇÃO FÍSICA - EAD - PÓLO DE SALINAS,INTEGRAL
86D,EDUCAÇÃO FÍSICA - EAD - PÓLO DE SANTA RITA DE CALDAS,INTEGRAL
86F,EDUCAÇÃO FÍSICA - EAD - PÓLO DE SANTOS,INTEGRAL
86G,EDUCAÇÃO FÍSICA - EAD - PÓLO DE SÃO PAULO (JARDIM ESMERALDA),INTEGRAL
86H,EDUCAÇÃO FÍSICA - EAD - PÓLO DE SERRANA,INTEGRAL
86L,EDUCAÇÃO FÍSICA - EAD - PÓLO DE SETE LAGOAS,INTEGRAL
23L,ENFERMAGEM,INTEGRAL
23A,ENFERMAGEM,INTEGRAL
60A,ENFERMAGEM - EAD - PÓLO DE ARAXÁ,INTEGRAL
60B,ENFERMAGEM - EAD - PÓLO DE BOA ESPERANÇA,INTEGRAL
60C,ENFERMAGEM - EAD - PÓLO DE BURITIS,INTEGRAL
60D,ENFERMAGEM - EAD - PÓLO DE ILICÍNEA,INTEGRAL
60E,ENFERMAGEM - EAD - PÓLO DE IPANEMA,INTEGRAL
60F,ENFERMAGEM - EAD - PÓLO DE OURO PRETO,INTEGRAL
60G,ENFERMAGEM - EAD - PÓLO DE SANTA RITA DE CALDAS,INTEGRAL
60H,ENFERMAGEM - EAD - PÓLO DE SÃO JOÃO DA PONTE,INTEGRAL
60I,ENFERMAGEM - EAD - PÓLO DE SETE LAGOAS,INTEGRAL
67A,ENGENHARIA AMBIENTAL E SANITÁRIA,INTEGRAL
24A,ENGENHARIA CIVIL,INTEGRAL
65B,ENGENHARIA COMPUTACIONAL,INTEGRAL
49A,ENGENHARIA DE PRODUÇÃO,NOTURNO
25A,ENGENHARIA ELÉTRICA,INTEGRAL
50A,ENGENHARIA ELÉTRICA,NOTURNO
65I,ENGENHARIA ELÉTRICA - HAB. EM ROBÓTICA E AUTOMAÇÃO INDUSTRIAL,INTEGRAL
69B,ENGENHARIA ELÉTRICA - HAB. EM ROBÓTICA E AUTOMAÇÃO INDUSTRIAL,INTEGRAL
65H,ENGENHARIA ELÉTRICA - HABILITAÇÃO EM ENERGIA,NOTURNO
70A,ENGENHARIA ELÉTRICA - HABILITAÇÃO EM ENERGIA,NOTURNO
69C,ENGENHARIA ELÉTRICA - HABILITAÇÃO EM SISTEMAS DE POTÊNCIA,INTEGRAL
65J,ENGENHARIA ELÉTRICA - HABILITAÇÃO EM SISTEMAS DE POTÊNCIA,INTEGRAL
69A,ENGENHARIA ELÉTRICA - HABILITAÇÃO EM SISTEMAS ELETRÔNICOS,INTEGRAL
65K,ENGENHARIA ELÉTRICA - HABILITAÇÃO EM SISTEMAS ELETRÔNICOS,INTEGRAL
65L,ENGENHARIA ELÉTRICA - HABILITAÇÃO EM TELECOMUNICAÇÕES,INTEGRAL
69D,ENGENHARIA ELÉTRICA - HABILITAÇÃO EM TELECOMUNICAÇÕES,INTEGRAL
71A,ENGENHARIA MECÂNICA,INTEGRAL
65M,ENGENHARIA MECÂNICA,INTEGRAL
55A,ESTATÍSTICA,INTEGRAL
65D,ESTATÍSTICA,INTEGRAL
07A,FARMÁCIA,INTEGRAL
05GV,FARMÁCIA,INTEGRAL
08A,FILOSOFIA,INTEGRAL
72EB,FILOSOFIA,DIURNO
73EB,FILOSOFIA,NOTURNO
72EL,FILOSOFIA,INTEGRAL
73E,FILOSOFIA,NOTURNO
08ABI,FILOSOFIA,INTEGRAL
08L,FILOSOFIA,INTEGRAL
08B,FILOSOFIA,INTEGRAL
73EL,FILOSOFIA,NOTURNO
72E,FILOSOFIA - ABI,INTEGRAL
65E,FÍSICA,INTEGRAL
81A,FÍSICA,NOTURNO
09A,FÍSICA,INTEGRAL
65EL,FÍSICA,INTEGRAL
65EB,FÍSICA,INTEGRAL
61I,FÍSICA - EAD - PÓLO DE BARROSO,INTEGRAL
61E,FÍSICA - EAD - PÓLO DE CATAGUASES,INTEGRAL
61F,FÍSICA - EAD - PÓLO DE DURANDÉ,INTEGRAL
61G,FÍSICA - EAD - PÓLO DE GOVERNADOR VALADARES,INTEGRAL
61A,FÍSICA - EAD - PÓLO DE ILICÍNEA,INTEGRAL
61H,FÍSICA - EAD - PÓLO DE JUIZ DE FORA,INTEGRAL
61B,FÍSICA - EAD - PÓLO DE LAVRAS,INTEGRAL
61C,FÍSICA - EAD - PÓLO DE SANTA RITA DE CALDAS,INTEGRAL
61D,FÍSICA - EAD - PÓLO DE TIMÓTEO,INTEGRAL
20A,FISIOTERAPIA,INTEGRAL
06GV,FISIOTERAPIA,INTEGRAL
10A,GEOGRAFIA,INTEGRAL
27A,GEOGRAFIA,NOTURNO
10B,GEOGRAFIA,INTEGRAL
27L,GEOGRAFIA,NOTURNO
27B,GEOGRAFIA,NOTURNO
10ABI,GEOGRAFIA,INTEGRAL
27ABI,GEOGRAFIA,NOTURNO
10L,GEOGRAFIA,INTEGRAL
11A,HISTÓRIA,INTEGRAL
28A,HISTÓRIA,NOTURNO
11ABI,HISTÓRIA,INTEGRAL
11L,HISTÓRIA,INTEGRAL
11B,HISTÓRIA,INTEGRAL
28B,HISTÓRIA,NOTURNO
28L,HISTÓRIA,NOTURNO
28ABI,HISTÓRIA,NOTURNO
85A,JORNALISMO,NOTURNO
84A,JORNALISMO,INTEGRAL
13A,LETRAS,INTEGRAL
29A,LETRAS,NOTURNO
13B,LETRAS,INTEGRAL
13BIN,LETRAS,INTEGRAL
13BFR,LETRAS,INTEGRAL
29L,LETRAS,NOTURNO
13L,LETRAS,INTEGRAL
13ABI,LETRAS,INTEGRAL
29ABI,LETRAS,NOTURNO
29B,LETRAS,NOTURNO
13BLT,LETRAS,INTEGRAL
13LES,LETRAS - ESPANHOL,INTEGRAL
13LFR,LETRAS - FRANCÊS,INTEGRAL
13LIN,LETRAS - INGLÊS,INTEGRAL
29LIN,LETRAS - INGLÊS,NOTURNO
13LIT,LETRAS - ITALIANO,INTEGRAL
13LLT,LETRAS - LATIM,INTEGRAL
13LPO,LETRAS - PORTUGUÊS,INTEGRAL
29LPO,LETRAS - PORTUGUÊS,NOTURNO
13LPO-FR,LETRAS - PORTUGUÊS/FRANCÊS,INTEGRAL
13LPO-IT,LETRAS - PORTUGUÊS/ITALIANO,INTEGRAL
13LPO-LT,LETRAS - PORTUGUÊS/LATIM,INTEGRAL
66F,LICENCIATURA EM ARTES VISUAIS,NOTURNO
75A,LICENCIATURA EM COMPUTAÇÃO - UAB - PÓLO DE ARAXÁ,INTEGRAL
75B,LICENCIATURA EM COMPUTAÇÃO - UAB - PÓLO DE BARROSO,INTEGRAL
75C,LICENCIATURA EM COMPUTAÇÃO - UAB - PÓLO DE BICAS,INTEGRAL
75K,LICENCIATURA EM COMPUTAÇÃO - UAB - PÓLO DE BOA ESPERANÇA,INTEGRAL
75D,LICENCIATURA EM COMPUTAÇÃO - UAB - PÓLO DE CATAGUASES,INTEGRAL
75M,LICENCIATURA EM COMPUTAÇÃO - UAB - PÓLO DE CONSELHEIRO LAFAIETE,INTEGRAL
75P,LICENCIATURA EM COMPUTAÇÃO - UAB - PÓLO DE GOVERNADOR VALADARES,INTEGRAL
75E,LICENCIATURA EM COMPUTAÇÃO - UAB - PÓLO DE ILICÍNEA,INTEGRAL
75L,LICENCIATURA EM COMPUTAÇÃO - UAB - PÓLO DE IPATINGA,INTEGRAL
75F,LICENCIATURA EM COMPUTAÇÃO - UAB - PÓLO DE JUIZ DE FORA,INTEGRAL
75G,LICENCIATURA EM COMPUTAÇÃO - UAB - PÓLO DE SALINAS,INTEGRAL
75H,LICENCIATURA EM COMPUTAÇÃO - UAB - PÓLO DE SANTA RITA DE CALDAS,INTEGRAL
75I,LICENCIATURA EM COMPUTAÇÃO - UAB - PÓLO DE SETE LAGOAS,INTEGRAL
75J,LICENCIATURA EM COMPUTAÇÃO - UAB - PÓLO DE TIMÓTEO,INTEGRAL
75N,LICENCIATURA EM COMPUTAÇÃO - UAB - PÓLO DE TIRADENTES,INTEGRAL
75O,LICENCIATURA EM COMPUTAÇÃO - UAB - PÓLO DE UBÁ,INTEGRAL
88A,LICENCIATURA EM LETRAS - LIBRAS,NOTURNO
89A,LICENCIATURA EM MÚSICA,INTEGRAL
14A,MATEMÁTICA,INTEGRAL
65FL,MATEMÁTICA,INTEGRAL
65FB,MATEMÁTICA,INTEGRAL
65F,MATEMÁTICA,INTEGRAL
82A,MATEMÁTICA,NOTURNO
14L,MATEMÁTICA,INTEGRAL
14B,MATEMÁTICA,INTEGRAL
36A,MATEMÁTICA - EAD - BICAS,INTEGRAL
62A,MATEMÁTICA - EAD - PÓLO DE ARAXÁ,INTEGRAL
62B,MATEMÁTICA - EAD - PÓLO DE BARROSO,INTEGRAL
62C,MATEMÁTICA - EAD - PÓLO DE BURITIZEIRO,INTEGRAL
62O,MATEMÁTICA - EAD - PÓLO DE CATAGUASES,INTEGRAL
62M,MATEMÁTICA - EAD - PÓLO DE DURANDÉ,INTEGRAL
62D,MATEMÁTICA - EAD - PÓLO DE ILICÍNEA,INTEGRAL
62P,MATEMÁTICA - EAD - PÓLO DE JUIZ DE FORA,INTEGRAL
62E,MATEMÁTICA - EAD - PÓLO DE LAGOA SANTA,INTEGRAL
62F,MATEMÁTICA - EAD - PÓLO DE LAVRAS,INTEGRAL
62G,MATEMÁTICA - EAD - PÓLO DE MANTENA,INTEGRAL
62H,MATEMÁTICA - EAD - PÓLO DE POMPÉU,INTEGRAL
62I,MATEMÁTICA - EAD - PÓLO DE SANTA RITA DE CALDAS,INTEGRAL
62J,MATEMÁTICA - EAD - PÓLO DE SETE LAGOAS,INTEGRAL
62K,MATEMÁTICA - EAD - PÓLO DE TIMÓTEO,INTEGRAL
62L,MATEMÁTICA - EAD - PÓLO DE TIRADENTES,INTEGRAL
62N,MATEMÁTICA - EAD - PÓLO DE UBÁ,INTEGRAL
07GV,MEDICINA,INTEGRAL
15A,MEDICINA,INTEGRAL
15B,MEDICINA PARA PLANO DEP,INTEGRAL
87A,MEDICINA VETERINÁRIA,INTEGRAL
63ABI,MÚSICA,INTEGRAL
63A,MÚSICA - CANTO,INTEGRAL
63G,MÚSICA - MODALIDADE COMPOSIÇÃO,INTEGRAL
63B,MÚSICA - MODALIDADE FLAUTA TRANSVERSAL,INTEGRAL
63C,MÚSICA - MODALIDADE PIANO,INTEGRAL
63D,MÚSICA - MODALIDADE VIOLÃO,INTEGRAL
63E,MÚSICA - MODALIDADE VIOLINO,INTEGRAL
63F,MÚSICA - MODALIDADE VIOLONCELO,INTEGRAL
53B,NORMAL SUPERIOR,DIURNO
53C,NORMAL SUPERIOR,INTEGRAL
08GV,NUTRIÇÃO,INTEGRAL
64A,NUTRIÇÃO,INTEGRAL
16A,ODONTOLOGIA,INTEGRAL
09GV,ODONTOLOGIA,INTEGRAL
65AC,OPÇÃO 2º CICLO CIÊNCIAS EXATAS - CIÊNCIA DA COMPUTAÇÃO,INTEGRAL
65AB,OPÇÃO 2º CICLO CIÊNCIAS EXATAS - ENGENHARIA COMPUTACIONAL,INTEGRAL
65AI,OPÇÃO 2º CICLO CIÊNCIAS EXATAS - ENGENHARIA ELÉTRICA - HAB. EM ROBÓTICA E AUTOMAÇÃO INDUSTRIAL,INTEGRAL
65AJ,OPÇÃO 2º CICLO CIÊNCIAS EXATAS - ENGENHARIA ELÉTRICA - HAB. EM SISTEMAS DE POTÊNCIA,INTEGRAL
65AK,OPÇÃO 2º CICLO CIÊNCIAS EXATAS - ENGENHARIA ELÉTRICA - HAB. EM SISTEMAS ELETRÔNICOS,INTEGRAL
65AL,OPÇÃO 2º CICLO CIÊNCIAS EXATAS - ENGENHARIA ELÉTRICA - HAB. EM TELECOMUNICAÇÕES,INTEGRAL
65AH,OPÇÃO 2º CICLO CIÊNCIAS EXATAS - ENGENHARIA ELÉTRICA - HABILITAÇÃO EM ENERGIA,NOTURNO
65AM,OPÇÃO 2º CICLO CIÊNCIAS EXATAS - ENGENHARIA MECÂNICA,INTEGRAL
65AD,OPÇÃO 2º CICLO CIÊNCIAS EXATAS - ESTATÍSTICA,INTEGRAL
65AE,OPÇÃO 2º CICLO CIÊNCIAS EXATAS - FÍSICA,INTEGRAL
65AF,OPÇÃO 2º CICLO CIÊNCIAS EXATAS - MATEMÁTICA,INTEGRAL
65AG,OPÇÃO 2º CICLO CIÊNCIAS EXATAS - QUÍMICA,INTEGRAL
30A,PEDAGOGIA,NOTURNO
17A,PEDAGOGIA,MATUTINO
37P,PEDAGOGIA - EAD - POLO BARROSO,INTEGRAL
37A,PEDAGOGIA - EAD - POLO BICAS,INTEGRAL
37F,PEDAGOGIA - EAD - POLO BOA ESPERANÇA,INTEGRAL
37D,PEDAGOGIA - EAD - POLO CATAGUASES,INTEGRAL
37Q,PEDAGOGIA - EAD - POLO CONSELHEIRO LAFAIETE,INTEGRAL
37G,PEDAGOGIA - EAD - POLO COROMANDEL,INTEGRAL
37L,PEDAGOGIA - EAD - POLO DURANDÉ,INTEGRAL
37H,PEDAGOGIA - EAD - POLO ILICINEA,INTEGRAL
37M,PEDAGOGIA - EAD - POLO IPANEMA,INTEGRAL
37B,PEDAGOGIA - EAD - POLO JACUTINGA,INTEGRAL
37O,PEDAGOGIA - EAD - POLO MANTENA,INTEGRAL
37C,PEDAGOGIA - EAD - POLO NEPOMUCENO,INTEGRAL
37I,PEDAGOGIA - EAD - POLO PESCADOR,INTEGRAL
37E,PEDAGOGIA - EAD - POLO RIO POMBA,INTEGRAL
37J,PEDAGOGIA - EAD - POLO SALINAS,INTEGRAL
37K,PEDAGOGIA - EAD - POLO SANTA RITA DE CALDAS,INTEGRAL
37R,PEDAGOGIA - EAD - POLO SETE LAGOAS,INTEGRAL
37S,PEDAGOGIA - EAD - POLO TIMÓTEO,INTEGRAL
37N,PEDAGOGIA - EAD - POLO TIRADENTES,INTEGRAL
37T,PEDAGOGIA - EAD - POLO UBÁ,INTEGRAL
32A,PSICOLOGIA,INTEGRAL
65GL,QUÍMICA,INTEGRAL
18L,QUÍMICA,INTEGRAL
65G,QUÍMICA,INTEGRAL
18B,QUÍMICA,INTEGRAL
65GB,QUÍMICA,INTEGRAL
83A,QUÍMICA,NOTURNO
18A,QUÍMICA,INTEGRAL
56A,QUÍMICA - BACHARELADO,INTEGRAL
59A,QUÍMICA - EAD - PÓLO DE BARBACENA,INTEGRAL
59F,QUÍMICA - EAD - PÓLO DE BARROSO,INTEGRAL
59D,QUÍMICA - EAD - PÓLO DE BOM SUCESSO,INTEGRAL
59B,QUÍMICA - EAD - PÓLO DE CATAGUASES,INTEGRAL
59G,QUÍMICA - EAD - PÓLO DE ILICÍNEA,INTEGRAL
59C,QUÍMICA - EAD - PÓLO DE JUIZ DE FORA,INTEGRAL
59E,QUÍMICA - EAD - PÓLO DE SETE LAGOAS,INTEGRAL
57A,QUÍMICA - LICENCIATURA,INTEGRAL
65G-ABI,QUÍMICA ABI,INTEGRAL
91A,"RÁDIO, TV E INTERNET",INTEGRAL
19A,SERVIÇO SOCIAL,MATUTINO
68A,SERVIÇO SOCIAL,NOTURNO
76A,SISTEMAS DE INFORMAÇÃO,NOTURNO
72D,TURISMO,INTEGRAL
92A,TURISMO,INTEGRAL
52A,TURISMO,INTEGRAL
73D,TURISMO,NOTURNO
48A,TURISMO,NOTURNO
93A,TURISMO,NOTURNO
